"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 12","28,600.0","28,500.0","29,040.0","27,740.0","13.47M","0.35%"
"Feb 12","28,500.0","27,580.0","28,760.0","27,080.0","27.29M","1.93%"
"Jan 12","27,960.0","27,899.8","28,697.0","26,100.0","14.41M","1.59%"
"Dec 11","27,521.2","27,899.8","29,713.3","27,302.0","34.66M","-1.36%"
"Nov 11","27,899.8","28,099.1","29,374.5","26,425.1","8.20M","-4.76%"
"Oct 11","29,294.8","27,003.0","29,892.7","26,405.2","8.88M","9.29%"
"Sep 11","26,803.8","29,195.2","29,773.1","26,325.5","11.27M","-7.88%"
"Aug 11","29,095.5","29,215.1","29,474.2","25,907.0","12.69M","0.55%"
"Jul 11","28,936.1","29,494.1","29,673.4","27,700.5","6.82M","-1.56%"
"Jun 11","29,394.4","29,693.4","29,892.7","28,916.2","7.26M","-1.60%"
"May 11","29,872.7","28,796.6","29,872.7","27,600.9","8.61M","2.88%"
"Apr 11","29,035.7","29,195.2","29,992.3","27,401.6","9.23M","0.14%"
"Mar 11","28,995.9","27,102.7","29,593.7","26,704.1","13.00M","7.38%"
"Feb 11","27,003.0","27,302.0","27,501.2","25,070.0","12.54M","-0.73%"
"Jan 11","27,202.3","29,514.0","29,514.0","25,747.5","15.50M","-8.82%"
"Dec 10","29,832.9","29,593.7","31,028.6","28,697.0","12.12M","1.49%"
"Nov 10","29,394.4","31,706.1","31,706.1","28,298.4","5.32M","-7.29%"
"Oct 10","31,706.1","29,793.0","31,706.1","28,916.2","8.00M","6.78%"
"Sep 10","29,693.4","30,091.9","30,171.7","28,119.0","8.58M","2.05%"
"Aug 10","29,095.5","27,381.7","29,294.8","24,910.6","10.09M","8.23%"
"Jul 10","26,883.5","23,794.6","28,876.3","23,655.1","13.09M","11.86%"
"Jun 10","24,033.7","23,415.9","24,213.1","23,117.0","7.54M","2.64%"
"May 10","23,415.9","22,917.7","23,575.3","21,602.4","8.82M","2.17%"
"Apr 10","22,917.7","22,220.2","24,093.5","22,140.5","8.34M","3.23%"
"Mar 10","22,200.3","22,220.2","22,519.1","21,542.6","8.87M","0.27%"
"Feb 10","22,140.5","21,682.1","22,140.5","20,327.0","11.01M","2.11%"
"Jan 10","21,682.1","23,455.8","23,455.8","21,323.4","10.25M","-5.64%"
"Dec 09","22,977.5","21,423.1","24,332.6","21,423.1","11.47M","7.26%"
"Nov 09","21,423.1","19,629.5","21,821.6","19,370.4","10.05M","9.14%"
"Oct 09","19,629.5","20,287.2","20,924.9","19,171.2","17.16M","-4.37%"
"Sep 09","20,526.3","18,214.6","20,625.9","17,218.2","16.05M","13.56%"
"Aug 09","18,075.1","16,441.0","18,832.4","16,441.0","16.09M","10.61%"
"Jul 09","16,341.3","16,381.2","16,540.6","14,926.4","23.62M","-0.24%"
"Jun 09","16,381.2","15,484.4","16,441.0","15,464.5","12.48M","6.06%"
"May 09","15,444.5","13,471.6","15,942.8","13,471.6","22.57M","16.02%"
"Apr 09","13,312.2","12,156.3","13,750.6","12,116.5","29.74M","10.05%"
"Mar 09","12,096.6","10,681.6","12,554.9","10,542.1","24.12M","10.36%"
"Feb 09","10,960.6","12,634.6","12,654.6","10,402.6","29.28M","-14.20%"
"Jan 09","12,774.1","12,814.0","13,112.9","11,199.8","11.49M","-0.31%"
"Dec 08","12,814.0","11,419.0","13,591.2","11,339.3","19.55M","10.10%"
"Nov 08","11,638.2","12,176.3","12,674.5","10,641.8","21.89M","-1.35%"
"Oct 08","11,797.6","15,803.3","16,460.9","9,266.7","19.64M","-25.91%"
"Sep 08","15,922.8","15,643.8","17,935.6","14,448.1","10.28M","2.57%"
"Aug 08","15,524.3","15,046.0","15,544.2","14,547.8","3.73M","1.83%"
"Jul 08","15,245.3","15,006.1","15,922.8","12,654.6","5.72M","3.38%"
"Jun 08","14,747.0","16,241.7","16,480.8","14,149.2","11.24M","-10.84%"
"May 08","16,540.6","17,537.0","18,892.2","15,942.8","6.24M","-4.38%"
"Apr 08","17,297.9","16,062.3","17,596.8","16,002.5","2.22M","8.50%"
"Mar 08","15,942.8","15,105.8","16,540.6","14,707.2","4.24M","5.13%"
"Feb 08","15,165.5","15,544.2","16,560.5","14,886.5","6.47M","-3.18%"
"Jan 08","15,663.8","17,357.7","17,935.6","13,750.6","4.43M","-9.76%"
